"File","NEF","TIFF","Date Created","Date Modified","File Size","Image Size","Date Shot","Time Zone and Date","Image Quality","Artist","Copyright","Image Comment","Device","Lens","Focal Length","Focus Mode","AF-Area Mode","VR","AF Fine Tune","Aperture","Shutter Speed","Exposure Mode","Exposure Comp.","Exposure Tuning","Metering","ISO Sensitivity","Flash Device","Flash Sync Mode","Flash Mode","White Balance","Color Space","High ISO NR","Long Exposure NR","Active D-Lighting","Image Authentication","Vignette Control","Auto Distortion Control","Picture Control","Base","Quick Adjust","Sharpening","Contrast","Brightness","Saturation","Hue","Filter Effects","Toning","Optimize Image","Color Mode","Tone Comp.","Hue Adjustment","Saturation","Sharpening","Latitude","Longitude","Altitude","Altitude Reference","Heading","UTC","Map Datum","Scene Mode","Keywords"
"rabd16255t","http://193.205.194.113/RAISE/NEF/rabd16255t.NEF","http://193.205.194.113/RAISE/TIFF/rabd16255t.TIF","9/20/2014 15:21","8/27/2011 21:02","11.3 MB","L (4288 x 2848)","02:26.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","outdoor"
"r86ad4fe2t","http://193.205.194.113/RAISE/NEF/r86ad4fe2t.NEF","http://193.205.194.113/RAISE/TIFF/r86ad4fe2t.TIF","9/20/2014 15:21","8/27/2011 21:03","11.8 MB","L (4288 x 2848)","03:51.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","32mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","outdoor"
"r6f670bc4t","http://193.205.194.113/RAISE/NEF/r6f670bc4t.NEF","http://193.205.194.113/RAISE/TIFF/r6f670bc4t.TIF","9/20/2014 15:21","8/27/2011 21:04","11.5 MB","L (4288 x 2848)","04:16.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","outdoor"
"ref170566t","http://193.205.194.113/RAISE/NEF/ref170566t.NEF","http://193.205.194.113/RAISE/TIFF/ref170566t.TIF","9/20/2014 15:21","8/27/2011 21:05","10.8 MB","L (4288 x 2848)","05:28.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","22mm","AF-A","Auto","ON","","f/9","1/400s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","outdoor"
"rea77734ct","http://193.205.194.113/RAISE/NEF/rea77734ct.NEF","http://193.205.194.113/RAISE/TIFF/rea77734ct.TIF","9/20/2014 15:21","8/27/2011 21:05","12.3 MB","L (4288 x 2848)","05:56.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/11","1/400s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","outdoor"
"r29537829t","http://193.205.194.113/RAISE/NEF/r29537829t.NEF","http://193.205.194.113/RAISE/TIFF/r29537829t.TIF","9/20/2014 15:21","8/27/2011 21:06","12.6 MB","L (4288 x 2848)","06:13.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/11","1/400s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","outdoor"
"r2ce3ea9dt","http://193.205.194.113/RAISE/NEF/r2ce3ea9dt.NEF","http://193.205.194.113/RAISE/TIFF/r2ce3ea9dt.TIF","9/20/2014 15:21","8/27/2011 21:06","11.7 MB","L (4288 x 2848)","06:38.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","24mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","outdoor"
"rf68615ebt","http://193.205.194.113/RAISE/NEF/rf68615ebt.NEF","http://193.205.194.113/RAISE/TIFF/rf68615ebt.TIF","9/20/2014 15:22","8/27/2011 21:09","11.0 MB","L (4288 x 2848)","09:10.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","22mm","AF-A","Auto","ON","","f/16","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","landscape; outdoor"
"r8f5b92e2t","http://193.205.194.113/RAISE/NEF/r8f5b92e2t.NEF","http://193.205.194.113/RAISE/TIFF/r8f5b92e2t.TIF","9/20/2014 15:22","8/27/2011 21:09","10.9 MB","L (4288 x 2848)","09:15.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","35mm","AF-A","Auto","ON","","f/16","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, G1","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","landscape; outdoor"
"rbcf87a55t","http://193.205.194.113/RAISE/NEF/rbcf87a55t.NEF","http://193.205.194.113/RAISE/TIFF/rbcf87a55t.TIF","9/20/2014 15:22","8/28/2011 16:07","10.7 MB","L (4288 x 2848)","07:50.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","22mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","landscape; outdoor; people"
"r15ab6ac6t","http://193.205.194.113/RAISE/NEF/r15ab6ac6t.NEF","http://193.205.194.113/RAISE/TIFF/r15ab6ac6t.TIF","9/20/2014 15:22","8/28/2011 16:08","10.8 MB","L (4288 x 2848)","08:28.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","70mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","outdoor; people"
"r69b9d853t","http://193.205.194.113/RAISE/NEF/r69b9d853t.NEF","http://193.205.194.113/RAISE/TIFF/r69b9d853t.TIF","9/20/2014 15:22","8/28/2011 16:09","11.0 MB","L (4288 x 2848)","08:59.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","66mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","landscape; outdoor; people"
"r7de98f85t","http://193.205.194.113/RAISE/NEF/r7de98f85t.NEF","http://193.205.194.113/RAISE/TIFF/r7de98f85t.TIF","9/20/2014 15:22","8/28/2011 16:09","10.9 MB","L (4288 x 2848)","09:46.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","66mm","AF-A","Auto","ON","","f/13","1/1000s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), B4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","6","Active D-Lighting","Active D-Lighting","3","3","","","","","","","","","","","","","","","","","outdoor"
"r5fafc186t","http://193.205.194.113/RAISE/NEF/r5fafc186t.NEF","http://193.205.194.113/RAISE/TIFF/r5fafc186t.TIF","9/20/2014 15:22","8/28/2011 16:11","10.6 MB","L (4288 x 2848)","11:16.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","66mm","AF-A","Auto","ON","","f/13","1/800s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), A4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","5","Active D-Lighting","Active D-Lighting","-2","-3","","","","","","","","","","","","","","","","","outdoor; people"
"r33ca9152t","http://193.205.194.113/RAISE/NEF/r33ca9152t.NEF","http://193.205.194.113/RAISE/TIFF/r33ca9152t.TIF","9/20/2014 15:22","8/28/2011 16:11","10.1 MB","L (4288 x 2848)","11:33.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","34mm","AF-A","Auto","ON","","f/13","1/800s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), A4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","5","Active D-Lighting","Active D-Lighting","-2","-3","","","","","","","","","","","","","","","","","landscape; outdoor; people"
"r2eb3894ft","http://193.205.194.113/RAISE/NEF/r2eb3894ft.NEF","http://193.205.194.113/RAISE/TIFF/r2eb3894ft.TIF","9/20/2014 15:22","8/28/2011 16:12","10.5 MB","L (4288 x 2848)","12:55.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","24mm","AF-A","Auto","ON","","f/13","1/800s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), A4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","5","Active D-Lighting","Active D-Lighting","-2","-3","","","","","","","","","","","","","","","","","outdoor; people"
"ra7f30ca8t","http://193.205.194.113/RAISE/NEF/ra7f30ca8t.NEF","http://193.205.194.113/RAISE/TIFF/ra7f30ca8t.TIF","9/20/2014 15:22","8/28/2011 16:12","10.7 MB","L (4288 x 2848)","12:57.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","24mm","AF-A","Auto","ON","","f/13","1/800s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), A4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","5","Active D-Lighting","Active D-Lighting","-2","-3","","","","","","","","","","","","","","","","","landscape; outdoor; people"
"rb0f64a21t","http://193.205.194.113/RAISE/NEF/rb0f64a21t.NEF","http://193.205.194.113/RAISE/TIFF/rb0f64a21t.TIF","9/20/2014 15:22","8/28/2011 16:13","10.6 MB","L (4288 x 2848)","13:20.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/13","1/800s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), A4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","5","Active D-Lighting","Active D-Lighting","-2","-3","","","","","","","","","","","","","","","","","landscape; outdoor; people"
"reee79bf4t","http://193.205.194.113/RAISE/NEF/reee79bf4t.NEF","http://193.205.194.113/RAISE/TIFF/reee79bf4t.TIF","9/20/2014 15:22","8/28/2011 16:13","10.5 MB","L (4288 x 2848)","13:30.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/13","1/800s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), A4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","5","Active D-Lighting","Active D-Lighting","-2","-3","","","","","","","","","","","","","","","","","landscape; outdoor"
"r110f894ft","http://193.205.194.113/RAISE/NEF/r110f894ft.NEF","http://193.205.194.113/RAISE/TIFF/r110f894ft.TIF","9/20/2014 15:22","8/28/2011 16:14","10.0 MB","L (4288 x 2848)","14:22.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/13","1/800s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), A4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","5","Active D-Lighting","Active D-Lighting","-2","-3","","","","","","","","","","","","","","","","","landscape; outdoor"
"r355e3f8at","http://193.205.194.113/RAISE/NEF/r355e3f8at.NEF","http://193.205.194.113/RAISE/TIFF/r355e3f8at.TIF","9/20/2014 15:23","8/28/2011 16:14","11.4 MB","L (4288 x 2848)","14:30.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/13","1/800s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), A4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","5","Active D-Lighting","Active D-Lighting","-2","-3","","","","","","","","","","","","","","","","","landscape; outdoor; people"
"rf806e85et","http://193.205.194.113/RAISE/NEF/rf806e85et.NEF","http://193.205.194.113/RAISE/TIFF/rf806e85et.TIF","9/20/2014 15:23","8/28/2011 16:14","10.2 MB","L (4288 x 2848)","14:50.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/13","1/800s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), A4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","5","Active D-Lighting","Active D-Lighting","-2","-3","","","","","","","","","","","","","","","","","landscape; outdoor"
"r341d1703t","http://193.205.194.113/RAISE/NEF/r341d1703t.NEF","http://193.205.194.113/RAISE/TIFF/r341d1703t.TIF","9/20/2014 15:23","8/28/2011 16:17","10.5 MB","L (4288 x 2848)","17:06.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","18mm","AF-A","Auto","ON","","f/14","1/1600s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), A4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","5","Active D-Lighting","Active D-Lighting","-2","-3","","","","","","","","","","","","","","","","","landscape; outdoor"
"r42e5c041t","http://193.205.194.113/RAISE/NEF/r42e5c041t.NEF","http://193.205.194.113/RAISE/TIFF/r42e5c041t.TIF","9/20/2014 15:23","8/28/2011 16:17","11.1 MB","L (4288 x 2848)","17:28.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","105mm","AF-A","Auto","ON","","f/18","1/1600s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), A4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","5","Active D-Lighting","Active D-Lighting","-2","-3","","","","","","","","","","","","","","","","","landscape; outdoor; people"
"r593ee167t","http://193.205.194.113/RAISE/NEF/r593ee167t.NEF","http://193.205.194.113/RAISE/TIFF/r593ee167t.TIF","9/20/2014 15:23","8/28/2011 16:17","10.8 MB","L (4288 x 2848)","17:36.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","58mm","AF-A","Auto","ON","","f/18","1/1600s","Manual","0EV","","Matrix","ISO 800","","","","Color Temp. (6670K), A4, M3","sRGB","ON (Normal)","OFF","Extra High","","","","LANDSCAPE-02","[LS] Landscape","","5","Active D-Lighting","Active D-Lighting","-2","-3","","","","","","","","","","","","","","","","","landscape; outdoor"
"r9e22708bt","http://193.205.194.113/RAISE/NEF/r9e22708bt.NEF","http://193.205.194.113/RAISE/TIFF/r9e22708bt.TIF","9/20/2014 15:23","12/31/2011 12:11","10.3 MB","L (4288 x 2848)","11:50.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","70mm","AF-A","Auto","ON","","f/5.3","1/400s","Aperture Priority","0EV","","Matrix","ISO 800","","","","Shade, B3, M1","sRGB","ON (Normal)","OFF","Extra High","","","","[LS] Landscape","[LS] Landscape","-","4","Active D-Lighting","Active D-Lighting","1","1","","","","","","","","","","","","","","","","","outdoor; people"
"rb91e7863t","http://193.205.194.113/RAISE/NEF/rb91e7863t.NEF","http://193.205.194.113/RAISE/TIFF/rb91e7863t.TIF","9/20/2014 15:23","12/31/2011 12:11","10.3 MB","L (4288 x 2848)","11:53.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","70mm","AF-A","Auto","ON","","f/5.3","1/500s","Aperture Priority","0EV","","Matrix","ISO 800","","","","Shade, B3, M1","sRGB","ON (Normal)","OFF","Extra High","","","","[LS] Landscape","[LS] Landscape","-","4","Active D-Lighting","Active D-Lighting","1","1","","","","","","","","","","","","","","","","","outdoor; people"
"r6db2493at","http://193.205.194.113/RAISE/NEF/r6db2493at.NEF","http://193.205.194.113/RAISE/TIFF/r6db2493at.TIF","9/20/2014 15:23","12/31/2011 12:11","10.7 MB","L (4288 x 2848)","11:57.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","70mm","AF-A","Auto","ON","","f/5.3","1/250s","Aperture Priority","0EV","","Matrix","ISO 800","","","","Shade, B3, M1","sRGB","ON (Normal)","OFF","Extra High","","","","[LS] Landscape","[LS] Landscape","-","4","Active D-Lighting","Active D-Lighting","1","1","","","","","","","","","","","","","","","","","outdoor; people"
"rf8d72d14t","http://193.205.194.113/RAISE/NEF/rf8d72d14t.NEF","http://193.205.194.113/RAISE/TIFF/rf8d72d14t.TIF","9/20/2014 15:24","12/31/2011 12:12","10.8 MB","L (4288 x 2848)","11:59.0","UTC+7, DST:OFF","Compressed RAW (12-bit)","","","","Nikon D90","VR 18-105mm f/3.5-5.6G","70mm","AF-A","Auto","ON","","f/5.3","1/320s","Aperture Priority","0EV","","Matrix","ISO 800","","","","Shade, B3, M1","sRGB","ON (Normal)","OFF","Extra High","","","","[LS] Landscape","[LS] Landscape","-","4","Active D-Lighting","Active D-Lighting","1","1","","","","","","","","","","","","","","","","","outdoor; people"
